Country,Christians,% Christian,% Catholic,% Protestant/ Orthodox/ Other Christian,GDP/Capita PPP World Bank 2012
Afghanistan ( details ),"6,250/8,000 -30,000",0.02%,,,1400
Albania ( details ),580000,"17.0% .  The full quote for affiliation on page 3 (google translate) is ""Albanian Muslims are 56.70%, 10.03% Catholics, 6.75% Orthodox, 2.09% Bektashi, 0.14% evangelicals. 5.49% other and 2.5%
atheists. The number of those who preferred not to answer this question is 13.79% of the total population""",10%,7%,9443
Algeria ( details ),380000,2%,1%,1%,8515
American Samoa ( details ),70000,98.3%,20%,78%,
Andorra ( details ),78000,89.5%,88.2% [http://www.pewforum.org/2011/12/19/table-christian-population-as-percentages-of-total-population-by-country/ PEW 2011] . Pewforum.org (2011-12-19). Retrieved on 2015-12-30.,1.3%,
Angola ( details ),17094000,"75% Viegas, Fátima (2008) Panorama das Religiões em Angola Independente (1975–2008) , Ministério da Cultura/Instituto Nacional para os Assuntos Religiosos, Luanda",50%,25%,6105
Anguilla ( details ),15000,90.5%,3%,87%,
Antigua and Barbuda ( details ),66000,74.0%,10%,64%,19964
Argentina ( details ),37561000,86% -90%,71% -77%,13%-15%,12034
Armenia ( details ),2826000,97.9%,1%,96.9%,6645
Aruba ( details ),98000,88%,80.8%,7.8%,
Australia ( details ),12201600,52.1%,22.6%,29.6%,44462
Austria ( details ),5940000,67.3%,57.9%,9.4%,43324
Azerbaijan ( details ),280000,3.1%,,3.1%,10624
Bahamas ( details ),335975,95% Bahamas Census 2010,12.0%,83.0%,31629
Bahrain ( details ),185000,15.0% [http://www.globalreligiousfutures.org/countries/bahrain/religious_demography Pew Research Center's Religion & Public Life Project: Bahrain] . Pew Research Center . 2010.,,9.0%,23886
Bangladesh ( details ),420000,0.4%,0.4%,,1883
Barbados ( details ),244000,74%,4.2%,70%,18805
Belarus ( details ),5265000,55.4%,7.1%,48.3%,15579
Belgium ( details ),6860000,65%,58%,7%,38884
Belize ( details ),247000,76.7%,40%,36.7%,7529
Benin ( details ),3943000,42.8%,27%,15%,1583
Bermuda ( details ),44000,64.7%,15%,50%,
Bhutan ( details ),7000,1.0%,0.1%,0.9%,6699
Bolivia ( details ),9730000,89.0%,76%,13%,5281
Bosnia and Herzegovina ( details ),1622093,45.94%,15.19%,30.75%,9235
Botswana ( details ),1416000,71.6%,5%,66%,16986
Brazil ( details ),180770000,90.0% [ftp://ftp.ibge.gov.br/Censos/Censo_Demografico_2010/Caracteristicas_Gerais_Religiao_Deficiencia/tab1_4.pdf IBGE - Instituto Brasileiro de Geografia e Estatística (Brazilian Institute for Geography and Statistics). 2010 Census] . Accessed 07.08.2012.,64.6%,22.2%,11909
British Virgin Islands ( details ),23000,94.0%,85%,9%,
Brunei ( details ),45000,11.0%,,,53348
Bulgaria ( details ),6364000,85.0%,1%,84%,15933
Burkina Faso ( details ),3746000,22.0%,18%,4%,1513
Burundi ( details ),7662000,75.0%,60%,15%,560
Cambodia ( details ),148000,1.0%,0.15%,0.85%,2494
Cameroon ( details ),13390000,65.0%,38.4%,26.3%,2324
Canada ( details ),22103000,67.3%,38.7%,29%,42693
Cape Verde ( details ),487000,89.1%,78.7%,10.4%,4430
Cayman Islands ( details ),42000,73.8%,,,
Central African Republic ( details ),2302000,80%,29%,51%,857
Chad ( details ),4150000,35.0%,20%,15%,1493
Chile ( details ),9900000,68%,55%,13%,22655
People's Republic of China ( details ),"31,220,000 Chinese Family Panel Studies 's survey of 2012. Published in The World Religious Cultures issue 2014: [http://iwr.cass.cn/zjwh/201403/W020140303370398758556.pdf 卢云峰：当代中国宗教状况报告——基于CFPS（2012）调查数据] . p. 13, reporting the results of the Renmin University's Chinese General Social Survey (CGSS) for the years 2006, 2008, 2010 and 2011, and their average. Note : according to the researchers of CFPS, only 6.3% of the Chinese are not religious in the sense of atheism ; the others are not religious in the sense that they do not belong to an organised religion, while they pray to or worship gods and ancestors in the manner of the traditional popular religion. -67,070,000","2.3%-4.0% MIller, 2006. pp. 185-186",0.3%,2%,9233
Colombia ( details ),43560000,92%,79%,13%,10587
Comoros ( details ),15000,2.1%,,,1230
Cook Islands ( details ),19000,86%,16.8%,69.6%,
"Congo, Republic of ( details )",3409000,90.7%,50%,40%,4426
"Congo, Democratic Republic of ( details )",63150000,92%,50%,42%,422
Costa Rica ( details ),3912000,83%,69%,14%,12943
Côte d'Ivoire ( details ),7075000,32.8%,28.9%,3.9%,2039
